ID#,Name,Primary
1007589,Ted Lewis
1012071,Joe Slusarski
1012799,Lou Sylvester
1005968,Jeff Holly
1004718,Tom Gilles
1010674,Roberto Ramirez
8700,Justin Verlander
1013089,Jim Tobin
263,Daniel McCutchen
1010718,Lance Rautzhan
1007316,Dick Lange
1008577,Archie McKain
4516,Sam Narron
1730,Rod Beck
1004844,Rene Gonzales
1003760,Narciso Elvira
1010462,Bill Posedel
1004057,Happy Finneran
1013641,Mike Warren
1004621,Lefty George
1011405,Alex Sanchez
1911,Scott Proctor
7489,Scott Elbert
1006915,Sam Kimber
1008035,Charlie Maloney
1008753,Steve Melter
1000107,Ed Albrecht
1001695,Sandy Burk
1004068,Hank Fischer
1000838,Dennis Bennett
1007847,Johnny Lush
1013186,Ken Trinkle
1006182,Bert Humphries
2882,Luis Avilan
4253,Micah Owings
1008920,Ox Miller
1009676,Henry Oberbeck
1004069,Jeff Fischer
1006071,Bruce Howard
1005673,Jim Henry
1510,Heath Murray
1013766,Ed Wells
1004555,Jim Garry
1011647,Hack Schumann
1008476,Sam McDowell
7488,Mike Ekstrom
1937,Mike Adams
6164,Dusty Hughes
3769,Mike Hinckley
1000893,Walter Bernhardt
1008520,John McGillen
1003446,Dave Dowling
6306,Juan Abreu
1002122,Elton Chamberlain
1001083,Joe Blong
2613,Juan Lara
1008755,Cliff Melton
569,Dave Mlicki
1012181,Mike Smithson
1008329,Dixie McArthur
3920,Frankie de la Cruz
1011138,Steve Rogers
1001913,John Cangelosi
1013191,Hal Trosky
1011478,Will Sawyer
1002286,Henry Clarke
1003626,Arnold Earley
1012696,Jim Sullivan
1006545,Dale Jones
1003922,Jack Fanning
1010109,Frank Pears
2625,Brad Salmon
1005398,Bill Harris
70,Jose Parra
1008399,John McCloskey
1012905,Kent Tekulve
1012389,Harry Staley
1008571,Harry McIntire
379,Ryan Drese
4599,Nick Swisher
1005999,Jay Hook
1005729,Lefty Herring
1014452,Jimmy Zinn
1004133,Mike Flanagan
1010472,Squire Potter
1003275,Leo Dickerman
1009647,Tom Norton
2567,Bryan Petersen
1006363,Pat Jarvis
1012311,By Speece
1003774,Luis Encarnacion
1010363,George Pipgras
1012613,Cub Stricker
1011977,Bill Simas
5960,Wesley Wright
1008053,Hal Manders
1689,Kyle Snyder
1013205,Mike Trujillo
1924,Matt Hensley
1011713,Don Secrist
1002844,Todd Cruz
1467,Guillermo Mota
1001332,Dick Braggins
1010305,Wiley Piatt
1007272,Wayne LaMaster
7501,Tommy Layne
1010932,Reggie Richter
1000352,James Atkins
1076,Ryan Franklin
650,Eric Gagne
1011545,Jim Schelle
1005195,Art Hagan
1004465,Balvino Galvez
1001329,Neal Brady
1000326,Gerry Arrigo
1008649,John McMullin
1004230,Happy Foreman
1011568,Biff Schlitzer
1000414,Stan Bahnsen
1004810,Hal Goldsmith
1004240,Tim Fortugno
1751,Aaron Heilman
1007107,Howie Koplitz
1003649,Craig Eaton
1003279,Jim Dickson
1007208,John Kull
1002212,Gary Christenson
1008117,Lou Marone
1003029,Ted Davidson
197,Sun-Woo Kim
2131,Gary Majewski
1009602,Al Nipper
1009738,Joe Oeschger
1002952,Mike Dalton
1003082,Tim Davis
1001015,George Blackburn
1014097,Mutt Wilson
1003511,Dick Drott
1000087,Hank Aguirre
3599,Brian Schlitter
1000549,Brian Barkley
1662,Doug Linton
1011529,Rube Schauer
1439,Bryan Corey
1004654,Bob Giallombardo
1014293,Roy Wright
1010731,Bugs Raymond
1009742,Curly Ogden
1013864,Doc White
1008256,Joe Matthews
1007771,Don Loun
375,Bartolo Colon
1009708,Andy O'Connor
1005049,Pat Griffin
1006448,Don Johnson
1014212,Fred Woodcock
1008270,Harry Matuzak
1012523,Joe Stewart
1011489,Bob Scanlan
6123,Brian Rogers
1003045,Dixie Davis
1012205,Sherry Smith
1005829,Dave Hillman
4878,Brandon Maurer
1011285,Don Rudolph
1002712,Roy Crabb
1011389,Gus Salve
7541,Lucas Harrell
1011473,Ralph Savidge
1005976,Ducky Holmes
1009785,Al Olmsted
1010327,Ed Pierce
1006179,Tom Hume
1004899,Ted Goulait
1013142,Cesar Tovar
1011911,Bob Shirley
1012893,Wade Taylor
1842,Chris Bootcheck
1009328,Mike Munoz
216,Ugueth Urbina
4640,Jason Bergmann
1298,Kelvim Escobar
1009736,Bryan Oelkers
1004176,Wes Flowers
9862,Joey Devine
1008337,Al McBean
1010829,Erwin Renfer
1004206,Joe Fontenot
1014174,Mike Witt
1012520,Frank Stewart
1004798,George Goetz
8598,Phil Dumatrait
3088,Carmen Pignatiello
11490,Aaron Sanchez
1001859,Jack Cameron
106,Kevin Millwood
2266,Jake Robbins
1005344,Jim Hardin
1002522,Bill Connors
1007161,Lou Kretlow
1012654,Tom Sturdivant
3276,Masa Kobayashi
1003703,Wish Egan
1010817,Jack Reis
1014009,Joe Willis
1003410,Mike Dorgan
8542,Alay Soler
1001673,Elmer Burkart
1009505,Lynn Nelson
3332,Jairo Asencio
1006114,La Marr Hoyt
1004542,Willie Garoni
1010024,Mike Parrott
1007263,Al Lakeman
8479,Robbie Weinhardt
1002893,George Curry
1009560,Dolan Nichols
8073,Dan Jennings
1004545,Greg Garrett
2432,Marino Salas
1014103,Roy Wilson
1001598,Jim Bruske
1006331,Pat Jacquez
1000557,Charlie Barnabe
9480,Cole Kimball
1004416,John Gabler
1009506,Mel Nelson
1012608,Oscar Streit
1014257,Hoge Workman
1051,Jake Peavy
1002933,Ed Daily
1005392,Andy Harrington
7105,Anthony Reyes
1011269,Normie Roy
840,Andy Pettitte
1010380,Stan Pitula
1010999,Ben Rivera
1011401,Roger Samuels
4732,Matt Cain
1007471,Watty Lee
1011894,Vince Shields
1009286,Billy Muffett
1007311,Sam Lanford
1011671,Herb Score
602,Jason Grimsley
1004251,Kevin Foster
1004239,Gary Fortune
1012931,Yank Terry
1000988,Bill Bishop
1000741,Bob Becker
711,Rhiner Cruz
1011201,Brian Rose
1013821,John Weyhing
1534,Michael Cuddyer
1011373,Johnny Sain
1014146,Jesse Winters
10938,Kenneth Roberts
8110,Bryan Shaw
1004022,John Fick
996,Josias Manzanillo
701,Jimmy Osting
1007006,Bill Kling
10080,Keith Butler
5712,Greg Reynolds
1007876,Al Lyons
1011086,Armando Roche
1010322,Al Piechota
4078,Rafael Perez
460,Adam Bernero
1009354,Danny Murphy
1008437,Paul McCullough
1013550,Jeff Wallace
1008623,Wayne McLeland
10258,Rafael Martin
4241,Brad Lincoln
1141,Josh Butler
12095,Yimi Garcia
1007859,Sparky Lyle
1004040,Tom Filer
2045,Travis Hughes
1859,Brian Falkenborg
1699,Erasmo Ramirez
1010739,Rip Reagan
1011507,Harry Schaeffer
1005895,Joe Hoerner
694,Curtis Leskanic
881,Satoru Komiyama
1007807,Ray Lucas
1012294,Mark Souza
1001588,Greg Brummett
2570,Robert Carson
1009053,Sid Monge
1001629,Mike Budnick
399,Chad Paronto
1000387,Doc Ayers
1001457,Lew Brockett
1013062,Mike Tiernan
2268,Agustin Montero
1000676,Chris Batton
1007950,Nick Maddox
1008069,Rube Manning
8501,Danny Farquhar
1000760,Julio Becquer
1003954,Frederick Fass
1008698,Doug McWeeny
1011468,Jack Savage
1001196,George Borchers
1011313,Jack Russell
12232,Cody Hall
1013056,Dick Tidrow
1008161,Dennis Martinez
517,Ryan Dempster
1006782,Tom Kelley
1011721,Emmett Seery
13418,Chris Beck
1002368,Tom Clyde
1009195,Dan Morogiello
1009881,Bill Oster
1012327,Sean Spencer
1007798,Mike Loynd
1005592,Gorman Heimueller
143,Buddy Groom
1012104,Bryn Smith
1007118,Dave Koslo
1006551,Dick Jones
11397,Daniel Burawa
267,Joe Borowski
1009446,Buddy Napier
1426,Ed Vosberg
1010358,George Pinkney
1005666,Bill Henry
1535,Dave Elder
1012114,Chuck Smith
1007884,Hersh Lyons
1706,Steve Avery
1008860,Carl Miles
1012106,Brian Smith
4529,Scott Olsen
1007284,Dennis Lamp
7450,Phil Hughes
1014446,Jeff Zimmerman
1001868,Bert Campaneris
341,Leyson Septimo
1006149,Bill Hughes
1000264,Fred Andrus
1012345,Scipio Spinks
1002564,Andy Cook
1008441,Lindy McDaniel
4371,Jeremy Hellickson
318,Craig Dingman
10466,Taylor Jordan
9261,Ryan Dennick
1013239,Elmer Tutwiler
10310,Zack Wheeler
1005639,Don Hendrickson
1001553,Paul Brown
1006526,Barry Jones
1004894,Rich Gossage
1005957,Bug Holliday
1004010,Wes Ferrell
1000328,Luis Arroyo
147,Jason Johnson
1003142,Mike Degerick
1004663,Bob Gibson
1007816,Eric Ludwick
1004135,Ray Flanigan
1010558,Troy Puckett
1000965,Emil Bildilli
1014311,Billy Wynne
1791,Jimmy Gobble
29,Troy Percival
13401,R.J. Alvarez
1003633,George Earnshaw
1006882,Gus Ketchum
2533,Juan Salas
3299,Chris Hatcher
1243,Francisco Cordero
1001654,Bill Burbach
9513,Kam Mickolio
1013005,Forrest Thompson
1004083,Don Fisher
1000375,Al Autry
1011659,Mike Schwabe
2332,Joel Peralta
1014047,Jim Willoughby
1011996,Joe Simpson
1001141,Stew Bolen
3753,Juan Mateo
2534,Mason Tobin
1013193,Bill Trotter
1013447,Ollie Voigt
1000986,Frank Biscan
1004619,Chris George
1012449,Bill Steele
1009122,Mike Moore
1012145,George Smith
1009887,Joe Ostrowski
1008830,Levi Meyerle
1010061,Gil Patterson
1009511,Roger Nelson
6640,Jhonny Nunez
1465,Juan Moreno
7872,Tyson Ross
1010688,Toad Ramsey
1007093,Ed Konetchy
1010337,Chris Piersoll
1001266,Bob Bowman
2468,Mark DiFelice
1000433,Bob Bailor
1452,Ben Howard
